EstacaoCodigo,NivelConsistencia,Data,TipoMedicaoChuvas,Maxima,Total,DiaMaxima,NumDiasDeChuva,MaximaStatus,TotalStatus,NumDiasDeChuvaStatus,TotalAnual,TotalAnualStatus,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31,Chuva01Status,Chuva02Status,Chuva03Status,Chuva04Status,Chuva05Status,Chuva06Status,Chuva07Status,Chuva08Status,Chuva09Status,Chuva10Status,Chuva11Status,Chuva12Status,Chuva13Status,Chuva14Status,Chuva15Status,Chuva16Status,Chuva17Status,Chuva18Status,Chuva19Status,Chuva20Status,Chuva21Status,Chuva22Status,Chuva23Status,Chuva24Status,Chuva25Status,Chuva26Status,Chuva27Status,Chuva28Status,Chuva29Status,Chuva30Status,Chuva31Status
2648014,1,01/11/2024,1,47.0,225.8,5.0,18.0,1.0,1,1.0,,0.0,0.0,0.0,2.0,2.5,47.0,0.0,27.5,20.0,0.0,0.0,0.0,1.5,6.5,0.0,5.7,6.0,0.0,0.0,0.0,0.0,8.6,27.7,30.0,9.5,10.0,0.0,0.6,2.0,17.7,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2648014,1,01/10/2024,1,55.0,161.9,10.0,15.0,1.0,1,1.0,,0.0,0.0,10.0,16.0,0.0,0.0,0.0,0.0,0.3,4.0,55.0,7.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,5.0,10.0,20.0,0.0,0.0,6.3,1.0,1.0,0.0,0.0,0.0,14.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2648014,1,01/09/2024,1,70.0,166.0,16.0,8.0,1.0,1,1.0,,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,49.0,70.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2648014,1,01/08/2024,1,18.0,37.9,24.0,9.0,1.0,1,1.0,,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,18.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2648014,1,01/07/2024,1,47.0,238.2,17.0,14.0,1.0,1,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,10.0,31.0,15.0,19.0,11.0,18.0,20.0,29.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,11.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2648014,1,01/06/2024,1,20.0,65.2,24.0,10.0,1.0,1,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,2.0,2.0,0.0,5.0,10.0,20.0,15.0,2.0,0.2,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2648014,1,01/05/2024,1,39.5,135.6,14.0,13.0,1.0,1,1.0,,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,3.2,4.0,0.0,0.0,39.5,1.8,0.4,4.0,5.0,0.2,0.0,0.0,0.0,6.0,7.3,0.0,30.0,31.7,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2648014,1,01/04/2024,1,100.0,383.7,14.0,20.0,1.0,1,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.0,2.0,3.0,5.0,30.0,24.0,30.0,100.0,3.0,75.5,3.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,10.0,12.0,70.0,0.7,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2648014,1,01/03/2024,1,26.0,130.7,1.0,19.0,1.0,1,1.0,,0.0,26.0,4.3,0.0,0.0,4.0,12.5,4.3,11.2,3.0,3.0,3.0,5.0,0.0,0.0,10.0,5.0,12.0,15.0,0.0,3.0,0.0,0.1,2.0,4.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2648014,1,01/02/2024,1,80.0,273.0,26.0,17.0,1.0,1,1.0,,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,9.0,14.0,8.0,6.0,34.0,50.0,40.0,80.0,10.0,8.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
