EstacaoCodigo,NivelConsistencia,Data,TipoMedicaoChuvas,Maxima,Total,DiaMaxima,NumDiasDeChuva,MaximaStatus,TotalStatus,NumDiasDeChuvaStatus,TotalAnual,TotalAnualStatus,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31,Chuva01Status,Chuva02Status,Chuva03Status,Chuva04Status,Chuva05Status,Chuva06Status,Chuva07Status,Chuva08Status,Chuva09Status,Chuva10Status,Chuva11Status,Chuva12Status,Chuva13Status,Chuva14Status,Chuva15Status,Chuva16Status,Chuva17Status,Chuva18Status,Chuva19Status,Chuva20Status,Chuva21Status,Chuva22Status,Chuva23Status,Chuva24Status,Chuva25Status,Chuva26Status,Chuva27Status,Chuva28Status,Chuva29Status,Chuva30Status,Chuva31Status
2648028,1,01/11/2024,1,50.0,219.0,7.0,19.0,1,1,1,,0,0.0,5.2,2.8,3.8,33.1,0.3,50.0,0.0,0.0,0.0,0.0,2.2,4.0,0.0,0.0,14.3,4.4,0.0,0.0,0.6,7.6,26.1,33.8,11.0,2.3,0.0,0.0,2.3,13.2,2.0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0
2648028,1,01/10/2024,1,54.5,234.2,10.0,20.0,1,1,1,,0,0.0,0.0,19.4,0.1,0.0,0.0,0.0,0.0,6.8,54.5,45.3,26.7,0.5,0.1,44.0,1.5,0.3,0.1,0.5,2.0,12.2,9.6,0.0,1.3,7.3,0.0,0.0,0.3,0.0,0.0,1.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0
2648028,1,01/09/2024,1,62.5,126.3,16.0,13.0,1,1,1,,0,0.0,0.0,0.0,0.0,0.3,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,10.8,31.3,62.5,0.0,0.0,0.5,2.9,10.1,0.0,0.3,0.1,0.0,0.3,4.7,0.0,0.0,0.0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0
2648028,1,01/08/2024,1,9.7,23.6,25.0,13.0,1,1,1,,0,1.3,0.1,0.0,0.0,0.1,0.0,0.1,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.3,0.1,0.7,0.0,0.0,8.2,9.7,0.1,0.0,0.1,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0
2648028,1,01/07/2024,1,38.1,189.9,14.0,21.0,1,1,1,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,19.4,31.4,0.0,19.9,7.9,38.1,3.9,11.7,21.8,0.1,0.0,0.0,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.1,10.9,6.0,15.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0
2648028,1,01/06/2024,1,42.2,67.4,25.0,12.0,1,1,1,,0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.1,0.2,0.0,0.0,1.2,0.1,0.0,0.0,0.0,0.0,0.1,42.2,22.8,0.1,0.0,0.0,0.0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0
2648028,1,01/05/2024,1,40.5,138.0,19.0,16.0,1,1,1,,0,0.0,0.1,1.3,1.3,0.9,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.1,2.9,5.6,0.2,0.0,5.2,40.5,0.4,0.0,0.0,0.0,18.5,2.4,0.0,18.5,35.5,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0
2648028,1,01/04/2024,1,,315.6,,,0,1,0,,0,0.0,0.1,0.0,0.6,0.0,23.2,0.2,1.8,6.8,0.1,0.0,35.5,20.8,51.0,11.0,44.5,7.7,0.4,0.0,0.0,0.0,0.2,0.0,0.4,1.0,8.6,,,100.7,1.0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,4,1,0.0
2648028,1,01/03/2024,1,35.1,124.0,1.0,16.0,1,1,1,,0,35.1,4.7,0.0,0.0,8.3,12.7,2.0,4.1,25.7,13.1,0.0,0.1,0.0,0.0,0.2,0.0,10.7,1.9,0.0,2.0,0.0,0.3,0.0,2.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0
2648028,1,01/02/2024,1,160.8,456.5,25.0,18.0,1,1,1,,0,18.1,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,57.1,0.0,5.2,4.5,11.3,17.2,0.5,76.0,8.5,0.1,0.0,160.8,71.9,12.5,0.4,3.1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0
